name: 2fa1d765-4a1d-4c04-a269-e2c56a767737 num_items: 559
token, class_id, token_value, token_tf, token_df
lпред, @default_class, 7.105545591912232e-07, 2.0, 1.0
убывающий, @default_class, 7.105545591912232e-07, 2.0, 1.0
предстоять, @default_class, 7.105545591912232e-07, 2.0, 1.0
adiv, @default_class, 3.552772795956116e-06, 10.0, 1.0
sfm, @default_class, 1.0658318387868349e-06, 3.0, 1.0
preij, @default_class, 1.4211091183824465e-06, 4.0, 1.0
aiq, @default_class, 1.776386397978058e-06, 5.0, 1.0
tijf, @default_class, 7.105545591912232e-07, 2.0, 1.0
aiki, @default_class, 7.105545591912232e-07, 2.0, 1.0
subai, @default_class, 3.1974955163605046e-06, 9.0, 1.0
индивидуализация, @default_class, 1.776386397978058e-06, 5.0, 1.0
очевидность, @default_class, 7.105545591912232e-07, 2.0, 1.0
петербург, @default_class, 7.105545591912232e-07, 2.0, 1.0
гипершар, @default_class, 1.0658318387868349e-06, 3.0, 1.0
охранять, @default_class, 1.0658318387868349e-06, 3.0, 1.0
интепретатор, @default_class, 1.0658318387868349e-06, 3.0, 1.0
интепретировать, @default_class, 1.0658318387868349e-06, 3.0, 1.0
profitable, @default_class, 7.105545591912232e-07, 2.0, 1.0
coldcodepass, @default_class, 7.105545591912232e-07, 2.0, 1.0
ụ, @default_class, 1.776386397978058e-06, 5.0, 1.0
basicblock, @default_class, 1.4211091183824465e-06, 4.0, 1.0
выполняемость, @default_class, 7.105545591912232e-07, 2.0, 1.0
freq, @default_class, 2.842218236764893e-06, 8.0, 1.0
runonmodule, @default_class, 7.105545591912232e-07, 2.0, 1.0
pow, @default_class, 7.105545591912232e-07, 2.0, 1.0
waikato, @default_class, 1.0658318387868349e-06, 3.0, 1.0
ромипать, @default_class, 7.105545591912232e-07, 2.0, 1.0
стремление, @default_class, 7.105545591912232e-07, 2.0, 1.0
viewed, @default_class, 7.105545591912232e-07, 2.0, 1.0
bibliography, @default_class, 7.105545591912232e-07, 2.0, 1.0
scanning, @default_class, 1.0658318387868349e-06, 3.0, 1.0
mandt, @default_class, 1.0658318387868349e-06, 3.0, 1.0
cannotdeleterelation, @default_class, 1.0658318387868349e-06, 3.0, 1.0
atrtypeerror, @default_class, 1.4211091183824465e-06, 4.0, 1.0
unknownrole, @default_class, 7.105545591912232e-07, 2.0, 1.0
numc, @default_class, 1.776386397978058e-06, 5.0, 1.0
culprit, @default_class, 8.88193153514294e-06, 25.0, 1.0
обходчик, @default_class, 7.105545591912232e-07, 2.0, 1.0
cosrelationships, @default_class, 1.0658318387868349e-06, 3.0, 1.0
взаимодавец, @default_class, 7.105545591912232e-07, 2.0, 1.0
заемщик, @default_class, 7.105545591912232e-07, 2.0, 1.0
типизировать, @default_class, 7.105545591912232e-07, 2.0, 1.0
заем, @default_class, 1.0658318387868349e-06, 3.0, 1.0
найм, @default_class, 1.776386397978058e-06, 5.0, 1.0
нанимать, @default_class, 1.4211091183824465e-06, 4.0, 1.0
семиуровневый, @default_class, 7.105545591912232e-07, 2.0, 1.0
oma, @default_class, 1.0658318387868349e-06, 3.0, 1.0
деловой, @default_class, 1.0658318387868349e-06, 3.0, 1.0
жизнедеятельность, @default_class, 7.105545591912232e-07, 2.0, 1.0
интеграционный, @default_class, 7.105545591912232e-07, 2.0, 1.0
relationfactory, @default_class, 3.552772795956116e-06, 10.0, 1.0
related, @default_class, 7.105545591912232e-07, 2.0, 1.0
relationship, @default_class, 7.105545591912232e-06, 20.0, 1.0
сын, @default_class, 1.776386397978058e-06, 5.0, 1.0
grail, @default_class, 1.0658318387868349e-06, 3.0, 1.0
ragel, @default_class, 1.0658318387868349e-06, 3.0, 1.0
getdents, @default_class, 1.4211091183824465e-06, 4.0, 1.0
lstat, @default_class, 2.842218236764893e-06, 8.0, 1.0
setregid, @default_class, 7.105545591912232e-07, 2.0, 1.0
fcntl, @default_class, 2.842218236764893e-06, 8.0, 1.0
lseek, @default_class, 2.4869409571692813e-06, 7.0, 1.0
sigprocmask, @default_class, 1.0658318387868349e-06, 3.0, 1.0
bufferedreader, @default_class, 7.105545591912232e-07, 2.0, 1.0
readfile, @default_class, 1.0658318387868349e-06, 3.0, 1.0
curact, @default_class, 1.0658318387868349e-06, 3.0, 1.0
sequencingengine, @default_class, 1.0658318387868349e-06, 3.0, 1.0
localobjid, @default_class, 2.1316636775736697e-06, 6.0, 1.0
organizations, @default_class, 7.105545591912232e-07, 2.0, 1.0
oneachnewattempt, @default_class, 7.105545591912232e-07, 2.0, 1.0
once, @default_class, 7.105545591912232e-07, 2.0, 1.0
minnormalizedmeasure, @default_class, 1.0658318387868349e-06, 3.0, 1.0
rollupcondition, @default_class, 7.105545591912232e-07, 2.0, 1.0
rolluprule, @default_class, 1.776386397978058e-06, 5.0, 1.0
auxiliaryresource, @default_class, 7.105545591912232e-07, 2.0, 1.0
satisfied, @default_class, 2.1316636775736697e-06, 6.0, 1.0
conditioncombination, @default_class, 7.105545591912232e-07, 2.0, 1.0
ruleaction, @default_class, 3.1974955163605046e-06, 9.0, 1.0
ruleconditions, @default_class, 4.263327355147339e-06, 12.0, 1.0
postconditionrule, @default_class, 1.776386397978058e-06, 5.0, 1.0
exitconditionrule, @default_class, 1.776386397978058e-06, 5.0, 1.0
auxiliaryresources, @default_class, 1.0658318387868349e-06, 3.0, 1.0
controlmode, @default_class, 1.776386397978058e-06, 5.0, 1.0
дейстие, @default_class, 7.105545591912232e-07, 2.0, 1.0
rollup, @default_class, 3.1974955163605046e-06, 9.0, 1.0
imsss, @default_class, 1.2434704331099056e-05, 35.0, 1.0
activities, @default_class, 7.105545591912232e-07, 2.0, 1.0
packaging, @default_class, 2.1316636775736697e-06, 6.0, 1.0
objectives, @default_class, 7.105545591912232e-06, 20.0, 1.0
snot, @default_class, 2.842218236764893e-06, 8.0, 1.0
iaddress, @default_class, 7.105545591912232e-07, 2.0, 1.0
msgreq, @default_class, 1.776386397978058e-06, 5.0, 1.0
intb, @default_class, 1.4211091183824465e-06, 4.0, 1.0
inta, @default_class, 1.0658318387868349e-06, 3.0, 1.0
intc, @default_class, 1.0658318387868349e-06, 3.0, 1.0
нешаблонный, @default_class, 7.105545591912232e-07, 2.0, 1.0
watching, @default_class, 2.842218236764893e-06, 8.0, 1.0
нитевой, @default_class, 1.776386397978058e-06, 5.0, 1.0
rcv, @default_class, 1.4211091183824465e-06, 4.0, 1.0
datain, @default_class, 1.0658318387868349e-06, 3.0, 1.0
проектировщик, @default_class, 1.0658318387868349e-06, 3.0, 1.0
бесперспективный, @default_class, 7.105545591912232e-07, 2.0, 1.0
